"Top-level","Aggregate","Mid-level","Low-level","Disaggregate","Attribute","Unit","Value"
"All food","","","","","Relative importance","Percent",100
"All food","","","","","Month-to-month December 2024 to January 2025","Percent change",0.6
"All food","","","","","Year-over-year January 2024 to January 2025","Percent change",2.5
"All food","","","","","Year-to-date avg. 2025 to avg. 2024","Percent change",1.6
"All food","","","","","Annual 2022","Percent change",9.9
"All food","","","","","Annual 2023","Percent change",5.8
"All food","","","","","Annual 2024","Percent change",2.3
"All food","","","","","20-year historical average","Percent change",2.9
"All food","","","","","Lower bound of prediction interval 2025","Percent change",1.1
"All food","","","","","Mid point of prediction interval 2025","Percent change",3.4
"All food","","","","","Upper bound of prediction interval 2025","Percent change",5.9
"All food","Food away from home","","","","Relative importance","Percent",41.3
"All food","Food away from home","","","","Month-to-month December 2024 to January 2025","Percent change",0.2
"All food","Food away from home","","","","Year-over-year January 2024 to January 2025","Percent change",3.4
"All food","Food away from home","","","","Year-to-date avg. 2025 to avg. 2024","Percent change",1.8
"All food","Food away from home","","","","Annual 2022","Percent change",7.7
"All food","Food away from home","","","","Annual 2023","Percent change",7.1
"All food","Food away from home","","","","Annual 2024","Percent change",4.1
"All food","Food away from home","","","","20-year historical average","Percent change",3.5
"All food","Food away from home","","","","Lower bound of prediction interval 2025","Percent change",2.1
"All food","Food away from home","","","","Mid point of prediction interval 2025","Percent change",3.4
"All food","Food away from home","","","","Upper bound of prediction interval 2025","Percent change",4.7
"All food","Food at home","","","","Relative importance","Percent",58.7
"All food","Food at home","","","","Month-to-month December 2024 to January 2025","Percent change",0.8
"All food","Food at home","","","","Year-over-year January 2024 to January 2025","Percent change",1.9
"All food","Food at home","","","","Year-to-date avg. 2025 to avg. 2024","Percent change",1.4
"All food","Food at home","","","","Annual 2022","Percent change",11.4
"All food","Food at home","","","","Annual 2023","Percent change",5
"All food","Food at home","","","","Annual 2024","Percent change",1.2
"All food","Food at home","","","","20-year historical average","Percent change",2.6
"All food","Food at home","","","","Lower bound of prediction interval 2025","Percent change",-0.2
"All food","Food at home","","","","Mid point of prediction interval 2025","Percent change",3.3
"All food","Food at home","","","","Upper bound of prediction interval 2025","Percent change",7
"All food","Food at home","Meats, poultry, and fish","","","Relative importance","Percent",10.6
"All food","Food at home","Meats, poultry, and fish","","","Month-to-month December 2024 to January 2025","Percent change",0.2
"All food","Food at home","Meats, poultry, and fish","","","Year-over-year January 2024 to January 2025","Percent change",2.3
"All food","Food at home","Meats, poultry, and fish","","","Year-to-date avg. 2025 to avg. 2024","Percent change",1
"All food","Food at home","Meats, poultry, and fish","","","Annual 2022","Percent change",9.6
"All food","Food at home","Meats, poultry, and fish","","","Annual 2023","Percent change",2
"All food","Food at home","Meats, poultry, and fish","","","Annual 2024","Percent change",1.7
"All food","Food at home","Meats, poultry, and fish","","","20-year historical average","Percent change",3
"All food","Food at home","Meats, poultry, and fish","","","Lower bound of prediction interval 2025","Percent change",-3.6
"All food","Food at home","Meats, poultry, and fish","","","Mid point of prediction interval 2025","Percent change",1
"All food","Food at home","Meats, poultry, and fish","","","Upper bound of prediction interval 2025","Percent change",6.1
"All food","Food at home","Meats, poultry, and fish","Meats","","Relative importance","Percent",6.7
"All food","Food at home","Meats, poultry, and fish","Meats","","Month-to-month December 2024 to January 2025","Percent change",0.2
"All food","Food at home","Meats, poultry, and fish","Meats","","Year-over-year January 2024 to January 2025","Percent change",3.2
"All food","Food at home","Meats, poultry, and fish","Meats","","Year-to-date avg. 2025 to avg. 2024","Percent change",1.3
"All food","Food at home","Meats, poultry, and fish","Meats","","Annual 2022","Percent change",8.2
"All food","Food at home","Meats, poultry, and fish","Meats","","Annual 2023","Percent change",2.1
"All food","Food at home","Meats, poultry, and fish","Meats","","Annual 2024","Percent change",2.8
"All food","Food at home","Meats, poultry, and fish","Meats","","20-year historical average","Percent change",3.1
"All food","Food at home","Meats, poultry, and fish","Meats","","Lower bound of prediction interval 2025","Percent change",-4.5
"All food","Food at home","Meats, poultry, and fish","Meats","","Mid point of prediction interval 2025","Percent change",1.4
"All food","Food at home","Meats, poultry, and fish","Meats","","Upper bound of prediction interval 2025","Percent change",8
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Relative importance","Percent",3.3
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Month-to-month December 2024 to January 2025","Percent change",0.3
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Year-over-year January 2024 to January 2025","Percent change",5.5
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Year-to-date avg. 2025 to avg. 2024","Percent change",2.6
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Annual 2022","Percent change",5.3
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Annual 2023","Percent change",3.6
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Annual 2024","Percent change",5.4
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","20-year historical average","Percent change",4
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Lower bound of prediction interval 2025","Percent change",-4.6
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Mid point of prediction interval 2025","Percent change",3.2
"All food","Food at home","Meats, poultry, and fish","Meats","Beef and veal","Upper bound of prediction interval 2025","Percent change",11.8
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Relative importance","Percent",2.1
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Month-to-month December 2024 to January 2025","Percent change",0.7
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Year-over-year January 2024 to January 2025","Percent change",2.8
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Year-to-date avg. 2025 to avg. 2024","Percent change",0.6
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Annual 2022","Percent change",8.7
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Annual 2023","Percent change",-1.2
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Annual 2024","Percent change",1.3
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","20-year historical average","Percent change",2.2
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Lower bound of prediction interval 2025","Percent change",-5.7
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Mid point of prediction interval 2025","Percent change",1.2
"All food","Food at home","Meats, poultry, and fish","Meats","Pork","Upper bound of prediction interval 2025","Percent change",8.5
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Relative importance","Percent",1.4
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Month-to-month December 2024 to January 2025","Percent change",-0.8
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Year-over-year January 2024 to January 2025","Percent change",-0.7
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Year-to-date avg. 2025 to avg. 2024","Percent change",-0.5
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Annual 2022","Percent change",14.2
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Annual 2023","Percent change",4.5
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Annual 2024","Percent change",0.3
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","20-year historical average","Percent change",2.6
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Lower bound of prediction interval 2025","Percent change",-2.7
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Mid point of prediction interval 2025","Percent change",0.6
"All food","Food at home","Meats, poultry, and fish","Meats","Other meats","Upper bound of prediction interval 2025","Percent change",4
