Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
All food,7,2002,2003,Lower bound of prediction interval,-0.2
All food,7,2002,2003,Mid point of prediction interval,1.9
All food,7,2002,2003,Upper bound of prediction interval,4.1
All food,8,2002,2003,Lower bound of prediction interval,-0.2
All food,8,2002,2003,Mid point of prediction interval,1.8
All food,8,2002,2003,Upper bound of prediction interval,4
All food,9,2002,2003,Lower bound of prediction interval,-0.2
All food,9,2002,2003,Mid point of prediction interval,1.8
All food,9,2002,2003,Upper bound of prediction interval,3.8
All food,10,2002,2003,Lower bound of prediction interval,0
All food,10,2002,2003,Mid point of prediction interval,1.8
All food,10,2002,2003,Upper bound of prediction interval,3.7
All food,11,2002,2003,Lower bound of prediction interval,0.2
All food,11,2002,2003,Mid point of prediction interval,1.9
All food,11,2002,2003,Upper bound of prediction interval,3.6
All food,12,2002,2003,Lower bound of prediction interval,0.3
All food,12,2002,2003,Mid point of prediction interval,1.9
All food,12,2002,2003,Upper bound of prediction interval,3.5
All food,1,2003,2003,Lower bound of prediction interval,0.7
All food,1,2003,2003,Mid point of prediction interval,1.9
All food,1,2003,2003,Upper bound of prediction interval,3.2
All food,2,2003,2003,Lower bound of prediction interval,0.7
All food,2,2003,2003,Mid point of prediction interval,1.8
All food,2,2003,2003,Upper bound of prediction interval,3
All food,3,2003,2003,Lower bound of prediction interval,1.1
All food,3,2003,2003,Mid point of prediction interval,2.1
All food,3,2003,2003,Upper bound of prediction interval,3.1
All food,4,2003,2003,Lower bound of prediction interval,1.2
All food,4,2003,2003,Mid point of prediction interval,2
All food,4,2003,2003,Upper bound of prediction interval,2.9
All food,5,2003,2003,Lower bound of prediction interval,1.1
All food,5,2003,2003,Mid point of prediction interval,1.8
All food,5,2003,2003,Upper bound of prediction interval,2.5
All food,6,2003,2003,Lower bound of prediction interval,1.2
All food,6,2003,2003,Mid point of prediction interval,1.8
All food,6,2003,2003,Upper bound of prediction interval,2.4
All food,7,2003,2003,Lower bound of prediction interval,1.5
All food,7,2003,2003,Mid point of prediction interval,2
All food,7,2003,2003,Upper bound of prediction interval,2.5
All food,8,2003,2003,Lower bound of prediction interval,1.5
All food,8,2003,2003,Mid point of prediction interval,1.9
All food,8,2003,2003,Upper bound of prediction interval,2.3
All food,9,2003,2003,Lower bound of prediction interval,1.7
All food,9,2003,2003,Mid point of prediction interval,2
All food,9,2003,2003,Upper bound of prediction interval,2.3
All food,10,2003,2003,Lower bound of prediction interval,1.7
All food,10,2003,2003,Mid point of prediction interval,2
All food,10,2003,2003,Upper bound of prediction interval,2.2
All food,11,2003,2003,Lower bound of prediction interval,1.9
All food,11,2003,2003,Mid point of prediction interval,2.1
All food,11,2003,2003,Upper bound of prediction interval,2.2
All food,12,2003,2003,Lower bound of prediction interval,2
All food,12,2003,2003,Mid point of prediction interval,2.1
All food,12,2003,2003,Upper bound of prediction interval,2.2
Food away from home,7,2002,2003,Lower bound of prediction interval,0.1
Food away from home,7,2002,2003,Mid point of prediction interval,1.8
Food away from home,7,2002,2003,Upper bound of prediction interval,3.6
Food away from home,8,2002,2003,Lower bound of prediction interval,0.5
Food away from home,8,2002,2003,Mid point of prediction interval,2
Food away from home,8,2002,2003,Upper bound of prediction interval,3.6
Food away from home,9,2002,2003,Lower bound of prediction interval,0.5
Food away from home,9,2002,2003,Mid point of prediction interval,2
Food away from home,9,2002,2003,Upper bound of prediction interval,3.4
